Text,Emotion
i know what happened might still feel real feel dangerous but i don t plan on going anywhere any time soon,anger
when i heard about the way a parent of a friend had mistreated him,anger
i is feeling particularly hostile shell say no red shirt today nickey,anger
im feeling very bitter against knight in shining denim because i asked him a year ago to go to the gym with me and he wouldnt spend the money,anger
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,anger
im happy to report that im not feeling too petty these days mostly because there have been countless examples lately showing me how irrational a woman reaching adulthood and some who should all ready be there can actually concieve,anger
i am feeling irritable cranky often,anger
i cant even get through schindlers list much less see the actual death chambers and feel the ghosts of the tortured around me,anger
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,anger
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,anger
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism",anger
@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x,anger
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! ,anger
"significantly, with a #bitter smile, 'let me",anger
i feel distracted or scattered i take a few moments to close my eyes and just breathe,anger
i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated,anger
i never have it feels insincere and a little nosy you get a hint that something might be wrong and want to jump in and get all the details,anger
"Do not despise the Lord ’s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12",anger
i take things very personally when i feel wronged even little memories stay with me,anger
Scored madden 13 on vita for $20AU today.  Bloke didn't know what he had. I'd have happily paid $70 🤑 my only ever bargain! #bargain #vit,anger
i get nothing and i really want to feel like if someone likes me for who i am not for my stubborn sister,anger
my roommate was rude to me,anger
"As your own lives in order to complete our amazing life journey successfully, it is there. #bitter",anger
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger
i feel like it only had created in me a more grumpy state at the meanness around me,anger
i feel dissatisfied with the advances we ve made rather than this team stinks,anger
"@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together, we'll both be safe.--",anger
i think i m feeling dissatisfied with my life,anger
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger
i went for the large double double along with a chocolate chip muffin i was feeling dangerous,anger
Don't be bitter,anger
i feel like i have been a bit obnoxious in my picture posting,anger
i intend to have them develop feelings for one another albeit with riku being stubborn about it as opposed to an open book due to plot ish issues,anger
i feel hateful of everything suddenly,anger
i actually feel insulted when the plot goes off on a tangent like that,anger
@hoytschile fury road!!,anger
i feel so resentful about having to take care of us and not getting to do what i want to do,anger
"@rabpeel snap, seems to be a problem here",anger
my classmate got a b for his homework while i only got a c when we got the results he acted as if he did not merit this grade i found that his humility was hypocritical and i found it disgusting,anger
i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one,anger
i told omangy that i was feeling violent and i wasnt in a good mood,anger
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
i guess im not ready for that still young and feeling rebellious,anger
i just feel really pissed off actually and stressed,anger
i feel really disgusted with myself more than the pain and agony,anger
i don t always remember to do this but when i m feeling bitchy and down on the world if i stop and take a moment to breathe and think about everything i m grateful for the joy seeps back,anger
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger
i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else,anger
im feeling so pissed off that i wanna scream and shout at the wall facing me right now,anger
i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward,anger
"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate",anger
i feel like a vile traitor even saying such a thing but its the truth,anger
i feel annoyed by that girl,anger
i would like you to start with asking yourself these questions with you feel stressed,anger
@cburt43 turn that frown upside down,anger
Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines,anger
im starting to think we may need to have to put a big sign on our door telling them so at least that would save me from feeling rude,anger
@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger
"The majority of people irritate the fuck out of me, cba with people ahahah",anger
i began to feel a little cold,anger
i watched him run by i couldnt help but feel envious,anger
i am feeling cranky or not cooperative i should be allowed to sleep or relax and if i am not given this opportunity it s not my fault if i body slam my bosses or harass museum visitors,anger
@JuliaHB1 Bloody right #fume,anger
i feel rediculous and petty and yet justified,anger
im fancy and it does it in a way without feeling too over the top or snobbish,anger
Hell hath not fury like a hamstring cramp. #ouch,anger
not to be That Person™ but i get bitter seeing some ravi stans,anger
i also mention marriage living in that he also feel the wronged me but at home so high the price is scary an ordinary rural family really difficult to afford the high price of the house,anger
i feel jealous of him touching someone else,anger
i thought i wont be affected by how youre thinking feeling but the petty side of you digust me,anger
i was feeling very offended at the line of questioning and almost walked out but i stuck around for some reason,anger
@Idubbbz @LeafyIsHere  I am offended,anger
when i was subjected to a very nasty joke by a group of friends,anger
i don t always remember to do this but when i m feeling bitchy and down on the world if i stop and take a moment to breathe and think about everything i m grateful for the joy seeps back,anger
i do feel very angered though,anger
i like her too much to feel as if im being obnoxious and getting involved into somethign that has nothing to do with me,anger
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,anger
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
i still feel like i was somehow one of the family members horribly wronged by the tragic events that have transpired today,anger
i would save it for the next time im feeling cranky or irritable then spray some lightly behind my ears,anger
i have omitted the link to this article as i feel readers of this blog may be offended by the questionable adult content on the nyps webpage,anger
